category,item_name,serving_size_g,calories_kcal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,dietary_fiber_g,sugars_g,protein_g,category_clean,chain
Coffee & Tea,Latte (Medium),16 fl oz cup,210,10.0,6.0,0.0,30,140,18,1,15,11,beverage,mcdonalds
Coffee & Tea,Latte (Large),20 fl oz cup,280,14.0,8.0,0.0,40,180,24,1,20,15,beverage,mcdonalds
Coffee & Tea,Caramel Latte (Small),12 fl oz cup,270,9.0,5.0,0.0,25,115,40,1,38,9,beverage,mcdonalds
Coffee & Tea,Caramel Latte (Medium),16 fl oz cup,340,10.0,6.0,0.0,30,140,50,1,48,11,beverage,mcdonalds
Coffee & Tea,Caramel Latte (Large),20 fl oz cup,430,14.0,8.0,0.0,40,180,62,1,59,15,beverage,mcdonalds
Coffee & Tea,Hazelnut Latte (Small),12 fl oz cup,270,9.0,5.0,0.0,25,115,40,1,38,9,beverage,mcdonalds
Coffee & Tea,Hazelnut Latte (Medium),16 fl oz cup,330,10.0,6.0,0.0,30,140,50,1,47,11,beverage,mcdonalds
Coffee & Tea,Hazelnut Latte (Large),20 fl oz cup,430,14.0,8.0,0.0,40,180,62,1,58,15,beverage,mcdonalds
Coffee & Tea,French Vanilla Latte (Small),12 fl oz cup,260,9.0,5.0,0.0,25,115,38,1,36,9,beverage,mcdonalds
Coffee & Tea,French Vanilla Latte (Medium),16 fl oz cup,330,10.0,6.0,0.0,30,140,48,1,45,11,beverage,mcdonalds
Coffee & Tea,French Vanilla Latte (Large),20 fl oz cup,420,14.0,8.0,0.0,40,190,60,1,56,15,beverage,mcdonalds
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Small),12 fl oz cup,210,9.0,5.0,0.0,25,150,24,1,12,9,beverage,mcdonalds
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Medium),16 fl oz cup,260,10.0,6.0,0.0,30,190,29,1,15,12,beverage,mcdonalds
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Large),20 fl oz cup,330,14.0,8.0,0.0,40,240,37,2,20,15,beverage,mcdonalds
Coffee & Tea,Nonfat Latte (Small),12 fl oz cup,100,0.0,0.0,0.0,5,110,15,1,13,10,beverage,mcdonalds
Coffee & Tea,Nonfat Latte (Medium),16 fl oz cup,130,0.0,0.0,0.0,5,135,19,1,16,12,beverage,mcdonalds
Coffee & Tea,Nonfat Latte (Large),20 fl oz cup,170,0.5,0.0,0.0,10,180,25,1,21,16,beverage,mcdonalds
Coffee & Tea,Nonfat Caramel Latte (Small),12 fl oz cup,200,0.0,0.0,0.0,5,110,41,1,39,10,beverage,mcdonalds
Coffee & Tea,Nonfat Caramel Latte (Medium),16 fl oz cup,250,0.0,0.0,0.0,5,135,51,1,48,12,beverage,mcdonalds
Coffee & Tea,Nonfat Caramel Latte (Large),20 fl oz cup,310,0.5,0.0,0.0,10,180,63,1,59,16,beverage,mcdonalds
Coffee & Tea,Nonfat Hazelnut Latte (Small),12 fl oz cup,200,0.0,0.0,0.0,5,110,40,1,38,10,beverage,mcdonalds
Coffee & Tea,Nonfat Hazelnut Latte (Medium),16 fl oz cup,250,0.0,0.0,0.0,5,135,51,1,48,12,beverage,mcdonalds
Coffee & Tea,Nonfat Hazelnut Latte (Large),20 fl oz cup,310,0.5,0.0,0.0,10,180,63,1,59,16,beverage,mcdonalds
Coffee & Tea,Nonfat French Vanilla Latte (Small),12 fl oz cup,190,0.0,0.0,0.0,5,115,39,1,37,10,beverage,mcdonalds
Coffee & Tea,Nonfat French Vanilla Latte (Medium),16 fl oz cup,240,0.0,0.0,0.0,5,140,49,1,46,12,beverage,mcdonalds
Coffee & Tea,Nonfat French Vanilla Latte (Large),20 fl oz cup,300,0.5,0.0,0.0,10,180,60,1,56,16,beverage,mcdonalds
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Small),12 fl oz cup,140,0.0,0.0,0.0,5,150,24,1,13,10,beverage,mcdonalds
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),16 fl oz cup,170,0.0,0.0,0.0,5,180,30,1,16,12,beverage,mcdonalds
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Large),20 fl oz cup,220,0.5,0.0,0.0,10,240,38,2,21,16,beverage,mcdonalds
Coffee & Tea,Mocha (Small),12 fl oz cup,340,11.0,7.0,0.0,35,150,49,2,42,10,beverage,mcdonalds
Coffee & Tea,Mocha (Medium),16 fl oz cup,410,14.0,8.0,0.0,40,190,60,2,53,13,beverage,mcdonalds
Coffee & Tea,Mocha (Large),20 fl oz cup,500,17.0,10.0,0.5,50,240,72,2,63,16,beverage,mcdonalds
Coffee & Tea,Mocha with Nonfat Milk (Small),12 fl oz cup,270,3.5,2.0,0.0,15,150,49,2,43,11,beverage,mcdonalds
Coffee & Tea,Mocha with Nonfat Milk (Medium),16 fl oz cup,330,3.5,2.0,0.0,15,190,60,2,53,13,beverage,mcdonalds
Coffee & Tea,Mocha with Nonfat Milk (Large),20 fl oz cup,390,4.0,2.5,0.0,20,240,73,2,64,17,beverage,mcdonalds
Coffee & Tea,Caramel Mocha (Small),12 fl oz cup,320,11.0,7.0,0.0,35,170,45,1,40,10,beverage,mcdonalds
Coffee & Tea,Caramel Mocha (Medium),16 fl oz cup,390,14.0,8.0,0.5,40,220,55,1,50,12,beverage,mcdonalds
Coffee & Tea,Caramel Mocha (Large),20 fl oz cup,480,17.0,10.0,0.5,50,270,66,1,60,16,beverage,mcdonalds
Coffee & Tea,Nonfat Caramel Mocha (Small),12 fl oz cup,250,3.5,2.0,0.0,15,170,45,1,41,10,beverage,mcdonalds
Coffee & Tea,Nonfat Caramel Mocha (Medium),16 fl oz cup,310,3.5,2.0,0.0,15,210,56,1,51,13,beverage,mcdonalds
